dataset_description	dataset_filename	dataset_id	dataset_organisms	dataset_scan	dataset_title	files_count	matchedpeaks	mzerror	score	specs_filename	specs_scan
The Burkholderia cepacia complex is a group of closely related species with large genomes that infect immunocompromised individuals or those living with cystic fibrosis. Some of these species are found more frequently and cause more severe disease than others, yet metabolomic differences between these species have not been described. Furthermore, our understanding of how these species respond to antibiotics is limited. We investigated the metabolomics differences between 10 Burkholderia strains including: B. cenocepacia J2315, B. cenocepacia K56-2, B. cenocepacia C5424, B. multivorans CF-1, B. multivorans CF-2, B. multivorans ATCC 17616, B. dolosa AU0645, B. dolosa AU1058, B. ambifaria H14274, and B. thailandensis E264 in the presence and absence of the antibiotic trimethoprim. Using a combination of supervised and unsupervised metabolomics data visualization and analysis tools, we describe the overall differences between strains of the same species and between species. Specifically, we report for the first time the role of the pyomelanin pathway in bacterial metabolism of trimethoprim using B. cenocepacia J2315 khmgA and K56-2 jhmgA strains with variants in the hmgA gene (which is responsible for pyomelanin production). We also report differences in detection of known secondary metabolites such as fragin, ornibactin, and N-acylhomoserine lactones and their analogs in closely related strains. Furthermore, we highlight the potential for the discovery of new secondary metabolites in clinical strains of Burkholderia spp. The metabolomics differences described in this study highlight the personalized nature of closely related Burkholderia strains.	continuous/clustered_data/MSV000084945_specs_ms.mgf	MSV000084945	Burkholderia sp. (NCBITaxon:36773)	2964	GNPS-Burkholderia_trimethoprim_LB	274	14	0.000410338733502158	0.7486993502842425	specs_ms.mgf	1
The dataset contains purified standards of Streptomyces species QL37 and media controls	continuous/clustered_data/MSV000082285_specs_ms.mgf	MSV000082285	Streptomyces (NCBITaxon:1883)	1479	GNPS - Streptomyces_species_QL37_standards	13	13	0.0025796612665089924	0.748350860995016	specs_ms.mgf	1
analysis of 88 bile acid animal extracts; methanol extraction (6x diluted); Kinetex Polar C18 separation; qTOF MS/MS detection; standards - methanolic solutions 1mg/ml 4x diluted (resulting conc. 62.5ug/ml); spiked with 2uM sulfamethazine as int. standard. Lock mass-corrected.	continuous/clustered_data/MSV000084170_specs_ms.mgf	MSV000084170	Alouatta sara;Amazona leucocephala;apteryx mantelli;Arapaima gigas;Ardea herodias;Astrapia mayeri ;auila audax;Bitis atropos;Bubo bubo;Bucephala islandica;Burhinus grallarius;Capito niger;Caretta caretta;Carettochelys insculpta;Cephaloscyllium ventriosum; Chaetodon ephippium; Chaetodon melannotus;Chlorophanes spiza;Cinnyricinclus leucogaster;cochoa azurea;Corallus caninus;Coryphaenoides cinereus; Coscoroba coscoroba;Crocodylus novaeguineae;Cygnus melancoryphus;Dicentrarchus labrax;Dinornis novaezealandiae;Dromaius novaehollandiae;Ducula bicolor;Ducula rufigaster;enhydrina schistosa ;Eptatretus cirrhatus;Eudyptula minor; Fratercula cirrhata ; Fulica americana;Gegeneophis ramaswamii ;Gyps africanus;Halcyon smyrnensis;Hemiscyllium ocellatum ;Himantopus mexicanus;Holacanthus ciliaris;Hypentelium nigricans;Hypogeophis rostratus;incilius periglenes ;Lanius ludovicianus;Latimeria chalumnae ; Leptoptilos crumeniferus;lycodon orientalis;Macrochelys temminckii ;Macropus fuliginosus;Megophrys nasuta;melursus ursinus inornatus;Morus bassanus;Myocastor coypus;myxine ios;Onychostoma alticorpus;Ornithorhynchus anatinus;oxyura jamicensis;pachymedusa danicolor;pelecanus occidentalis;Phascolarctos cinereus;phoenicoparrus minor;physeter macrocephalus;Plagiodontia aedium;Pleuronichthys verticalis;pomachanthus navarchus ;Pongo pygmaeus;ptilinopus cinctus;Ptilopsis leucotis;rhabdotorrhinus corrugatus; Rhea americana;Salamandra salamandra;Spheniscus demersus; Struthio camelus;Struthio camelus australis;Taeniura lymma;Tapirus bairdii;Tauraco schalowi;Threskiornis aethiopicus;Tomistoma schlegelii;Tragopan blythii;treron floris;Trichechus manatus;Urocolius macrourus;Varanus exanthematicus;Vultur gryphus	1788	FB-IIN-GNPS Bile acids animal extracts 88 pos	25	15	0.000410338733502158	0.7454758599544171	specs_ms.mgf	1
Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. Standard methanol extraction.	continuous/clustered_data/MSV000081950_specs_ms.mgf	MSV000081950	Mus <mouse, genus> (NCBITaxon:10088)	1044	GNPS - SEED - Crotty Alexander - E-cig	53	14	0.0015696612665010434	0.745202792959667	specs_ms.mgf	1
LC-MS/MS analysis of approximatively 1000 samples from 80 volunteers, hands and their personal objects. More details later. 	continuous/clustered_data/MSV000080030_specs_ms.mgf	MSV000080030	Homo sapiens (NCBITaxon:9606)	2153880	GNPS - Forensic study, swabs of hands and objects, 80 volunteers.	3	14	0.0025796612665089924	0.7444466297866217	specs_ms.mgf	1
Light and dark effect on marine actinobacteria	continuous/clustered_data/MSV000079140_specs_ms.mgf	MSV000079140	Actinobacteria <class> (NCBITaxon:1760)	70	GNPS - Light and dark on marine actinobacteria	75	14	0.010579661266490348	0.7429894153604818	specs_ms.mgf	1
metabolomics data for duodenum samples of germ free (GF) vs specific pathogen free (SPF) mice	continuous/clustered_data/MSV000083437_specs_ms.mgf	MSV000083437	Mus musculus (NCBITaxon:10090)	164173	GNPS_GF vs. SPF Mouse Duodenum	25	13	0.0025796612665089924	0.742785556331157	specs_ms.mgf	1
These microbes were isolated from human lungs associated with cystic fibrosis	continuous/clustered_data/MSV000083263_specs_ms.mgf	MSV000083263	Pseudomonas (NCBITaxon:286);Stenotrophomonas (NCBITaxon:40323);Achromobacter (NCBITaxon:222)	302	GNPS-MicrobialIsolates_CFlungs	21	12	0.0005696612665246903	0.7389076437605178	specs_ms.mgf	1
The files make up a subset of metabolome from diseased human lung and microbial extracts. These files are meant to be used as an example for molecular networking in the GNPS protocols paper, and this example specifically focuses on visualization of quinolone metabolites. 	continuous/clustered_data/MSV000083359_specs_ms.mgf	MSV000083359	Mus musculus (NCBITaxon:10090)	27872	GNPS - Subset of metabolome from diseased human lung for protocol example	21	12	0.0005696612665246903	0.7389076437605178	specs_ms.mgf	1
Metabolic analysis on simple and complex foods extracted in EtOH. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081347_specs_ms.mgf	MSV000081347	food metagenome (NCBITaxon:870726)	3272	GNPS - FOOD_Project - Plate 1	13	12	0.0005696612665246903	0.7386099549513679	specs_ms.mgf	1
Plates 1 - 16 (Gut samples) from 3D Mouse ABX project 	continuous/clustered_data/MSV000082049_specs_ms.mgf	MSV000082049	Mus musculus (NCBITaxon:10090)	170019	GNPS ABX 3D Mouse Plates 1-16	683	16	0.0005696612665246903	0.7376293328151603	specs_ms.mgf	1
Blood plasma samples from twins cohort with NAFLD ans cirrhosis for the NOBEL study. The samples are extracted using Dorrestein lab SOP for blood plasma.  	continuous/clustered_data/MSV000083065_specs_ms.mgf	MSV000083065	Homo sapiens (NCBITaxon:9606)	255690	GNPS_Nobel_twin_study_blood_plasma	44	13	0.0005696612665246903	0.7372321154526422	specs_ms.mgf	1
Metabolite analysis of milk, yogurt and home fermented yogurt timecourse. Samples were extracted in ethanol using FoodOmics protocols. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS. 	continuous/clustered_data/MSV000082821_specs_ms.mgf	MSV000082821	food fermentation metagenome (NCBITaxon:1154581)	160	GNPS - Qiime2 Metabolomics Plugin - Tutorial - Longitudinal Data	15	12	0.0005696612665246903	0.736693689942664	specs_ms.mgf	1
Paper Title: Artificial Sputum Medium Formulation, Including Porcine Gastric Mucin, Impacts Pseudomonas aeruginosa Phenotype and ChemotypeAuthor List: Neve RL and Phelan VV.Brief description of data submitted: Metabolomics results of PAO1 grown in 9 ASM and LB medium. Raw data, open source data, feature finding output files, and Cytoscape network files used to generate Figures 2 Classical Molecular Network and 3 Feature Based Molecular Network.	continuous/clustered_data/MSV000086721_specs_ms.mgf	MSV000086721	Pseudomonas aeruginosa PAO1 (NCBITaxon:208964)	124310	GNPS - Artificial Sputum Medium Formulation Impacts Psuedomonas aeruginosa Chemotype	39	13	0.000410338733502158	0.7363464363391921	specs_ms.mgf	1
Metabolic analysis of human stool samples, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. [dataset license: CC0 1.0 Universal (CC0 1.0)] [doi:10.25345/C53W9T] [dataset license: CC0 1.0 Universal (CC0 1.0)] 	continuous/clustered_data/MSV000084219_specs_ms.mgf	MSV000084219	Homo sapiens (NCBITaxon:9606)	132754	GNPS - CMI - UVA Fecal Metabolomics Longitudinal Dataset	131	13	0.0005696612665246903	0.7347750368608323	specs_ms.mgf	1
N/NIH rats were selected for either low (LRT) or high (HRT) response to training. Rats at 2 year of age were trained for 8 weeks with an improvement in oxidative capacity. Selection was also performed for high (HCR) or low (LCR) intrinsic running capacity. Young and old animals are compared to 12 week old animals.	continuous/clustered_data/MSV000082734_specs_ms.mgf	MSV000082734	Rattus norvegicus	1513	Metabolomics Workbench ST000759 - GNPS - Age and exercise effect on metabolomics in rats	16	13	0.000410338733502158	0.7343561093405613	specs_ms.mgf	1
Samples were processed on a Bruker Daltonics maXis Impact and C18 RP-UPLC for untargeted metabolomic analysis. 	continuous/clustered_data/MSV000083759_specs_ms.mgf	MSV000083759	Homo sapiens (NCBITaxon:9606)	4527	GNPS - ONR - Human-Fecal- QTOF	13	13	0.0005696612665246903	0.7343005039724367	specs_ms.mgf	1
Collection of culture experiments of P. aeruginosa exposed to bicarbonate sectioned through the media in three dimensions.	continuous/clustered_data/MSV000079680_specs_ms.mgf	MSV000079680	Pseudomonas aeruginosa PAO1 (NCBITaxon:208964)	682918	GNPS - Bicarbonate and Pseudomonas 3D	279	12	0.0005696612665246903	0.7337817540778039	specs_ms.mgf	1
Metabolic analysis of food samples from Italy, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000082069_specs_ms.mgf	MSV000082069	food metagenome (NCBITaxon:870726)	1121	GNPS - GFOP - Food - Italy - Italy_plate1	5	13	0.0005696612665246903	0.7323467757874904	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode. Data from the children diagnosed with Pitt Hopkins disease and their healthy parents.	continuous/clustered_data/MSV000083357_specs_ms.mgf	MSV000083357	Homo sapiens (NCBITaxon:9606)	2735	GNPS - Pitt Hopkins	62	14	0.001420338733510107	0.7295507489333901	specs_ms.mgf	1
E4 is the media blankMeOH/H20 file is the solventAll isolates were obtained from Dr. Farooq Azam's Lab at SIO	continuous/clustered_data/MSV000078805_specs_ms.mgf	MSV000078805	Orbicella annularis (NCBITaxon:48500)	83705	GNPS_M_annularis_microbial_community_isolates	18	13	0.0064203387335055595	0.7227242083609077	specs_ms.mgf	1
Data consist of LC-MS/MS analysis of dust from 1053 child mattresses and 53 animal sheds 	continuous/clustered_data/MSV000079274_specs_ms.mgf	MSV000079274	Homo sapiens (NCBITaxon:9606)	1992	GNPS_Mattress_Dust	18	13	0.000410338733502158	0.7223140150100862	specs_ms.mgf	1
Metabolite analysis of food, fecal and plasma samples, standard global foodomics ethanol extraction. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000084591_specs_ms.mgf	MSV000084591	Homo sapiens (NCBITaxon:9606)	75234	GNPS CIAO C18-LC-MS/MS Positive Polarity	95	14	0.0005696612665246903	0.7208178660312543	specs_ms.mgf	1
These are raw and mzXML data from mice tissue obtained from the Raffatellu lab. This excludes the fecal data collected from the time series.	continuous/clustered_data/MSV000083446_specs_ms.mgf	MSV000083446	animalia	59460	GNPS - Antibiotic Mice All Tissue	50	14	0.000410338733502158	0.720736652962897	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c-18 column) positive mode. Data analyzing storage conditions of different storage collection devices for human fecal samples.	continuous/clustered_data/MSV000084554_specs_ms.mgf	MSV000084554	Homo sapiens (NCBITaxon:9606)	17848	GNPS - Metabolomic profiles of human fecal samples in different storage conditions	52	13	0.0005696612665246903	0.7193876573162642	specs_ms.mgf	1
Use of a probiotic supplement in maternal diet to promote a microbiome associated with decreased risk for spontaneous preterm birth. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000084010_specs_ms.mgf	MSV000084010	Homo sapiens (NCBITaxon:9606)	6531	GNPS - Seed - Conturie Probiotic Supplement During Pregnancy	33	13	0.0005696612665246903	0.7192709452294882	specs_ms.mgf	1
A collection of co-culture experiments between Cystic Fibrosis sputum samples and Fermented foods in the WinCF system.	continuous/clustered_data/MSV000079679_specs_ms.mgf	MSV000079679	Homo sapiens (NCBITaxon:9606)	104108	GNPS - CF Sputum vs. Food	49	11	0.0005696612665246903	0.7180986372677048	specs_ms.mgf	1
Non-targeted LC-MS/MS from SPE (PPL) enriched samples from dissolved organic matter, total organic matter, sea surface microlayer and seaspray aerosols (DOM, TOM, SSML, SSA) from SeaScape 2019. 	continuous/clustered_data/MSV000084741_specs_ms.mgf	MSV000084741	environmental samples <Bacillariophyta> (NCBITaxon:33858)	112874	GNPS Environmental MEtabolomics from SEASCAPE Ocean Seaspray Mesocosm Experiment 2019	15	14	0.000410338733502158	0.7166898200209021	specs_ms.mgf	1
MS/MS data were collected from skin of Amazon individuals and from their houses (walls and floors of living room, bedroom, kitchen and bathroom).	continuous/clustered_data/MSV000079389_specs_ms.mgf	MSV000079389	Homo sapiens (NCBITaxon:9606);environmental samples <Bacillariophyta> (NCBITaxon:33858)	773042	GNPS_Amazon skin and environmental samples	1	13	0.0005696612665246903	0.7157860673564705	specs_ms.mgf	1
 MS/MS data were collected from houses along a gradient of urbanization	continuous/clustered_data/MSV000082924_specs_ms.mgf	MSV000082924	environmental samples <Bacillariophyta> (NCBITaxon:33858)	465618	GNPS - Amazon urbanization - housing analysis	1	13	0.0005696612665246903	0.7157860673564705	specs_ms.mgf	1
ApoE Knockout Mice treated with normal oxygen and hypoxia.  Additional antibiotic treatment provided.	continuous/clustered_data/MSV000081326_specs_ms.mgf	MSV000081326	Mus musculus (NCBITaxon:10090)	116732	GNPS_ApoE-Knockout_Mice_Hypoxia_Antibiotics	283	15	0.000410338733502158	0.7129791684457434	specs_ms.mgf	1
American gut, 3k, dataset, qTOF, fecal samples, extracted in 90% ethanol, resuspended in 50% methanol	continuous/clustered_data/MSV000080673_specs_ms.mgf	MSV000080673	Homo sapiens (NCBITaxon:9606)	4031214	GNPS_AmericanGut3K_dataset	186	12	0.0005696612665246903	0.7122131794138493	specs_ms.mgf	1
A collection of fecal sample LC-MS/MS data from patients with varied degrees of Irritable Bowel Syndrome severity.	continuous/clustered_data/MSV000082431_specs_ms.mgf	MSV000082431	Homo sapiens (NCBITaxon:9606)	30924	GNPS IBD Severity	39	11	0.001420338733510107	0.7111972632136411	specs_ms.mgf	1
Untargetted metabolomics of mouse vaginal, cervix, and uterine tissue from adult mice colonized with GBS, candida or trichomonas. Data was acquired using a Bruker Daltronics maXis Impact and a C18 RP-UHPLC system. Positive polarity acquisition of LC-MS/MS	continuous/clustered_data/MSV000081284_specs_ms.mgf	MSV000081284	Mus musculus (NCBITaxon:10090)	13842	GNPS - SEED Grant - Mouse Vaginal Colonization	31	13	0.0005696612665246903	0.7096603762887199	specs_ms.mgf	1
Non-targeted LC-MS/MS runs of a serial dilution of NIST 1950 metabolite standard	continuous/clustered_data/MSV000080533_specs_ms.mgf	MSV000080533	Homo sapiens (NCBITaxon:9606)	28727	GNPS - NIST 1950 metabolite standard serial delution (LC-MS/MS)	8	14	0.000410338733502158	0.7095005312262886	specs_ms.mgf	1
Metabolic analysis of complex food samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081675_specs_ms.mgf	MSV000081675	food metagenome (NCBITaxon:870726)	2345	GNPS - GFOP - Food - Plate9_complex	7	14	0.0015696612665010434	0.7080685584789438	specs_ms.mgf	1
Methanolic fractions of supernatants of cultures of B. subtilis wild strains. Raw dataset and feature finding project for IIN protocol, July 2019.	continuous/clustered_data/MSV000084045_specs_ms.mgf	MSV000084045	Bacillus subtilis (NCBITaxon:1423)	458	GNPS - Bsub-SNfractions-dataset-IIN_2019	2	14	0.0005696612665246903	0.7079061618728372	specs_ms.mgf	1
Metabolic analysis of human stool samples, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000083024_specs_ms.mgf	MSV000083024	Homo sapiens (NCBITaxon:9606)	68960	GNPS - CMI - UVA Fecal Metabolomics 10.11.2018	84	13	0.0015696612665010434	0.7021711402358505	specs_ms.mgf	1
RERUN OF TH SAMPLES ONLY. Enteric neurons have long been implicated in various physiologies. Recent studies have shown that enteric neurons are affected by the microbiota. However, how certain populations of enteric neurons affect physiology, and methods to ask these questions have been evasive. In this study, we are employing activation DREADDs (designed-receptors exclusively activated by designer drugs) to address the effect of activating subsets of enteric neurons on the host, specifically in the context of the microbiome and metabolome. Two subsets of neurons we are activating are TH (tyrosine-hydroxylase- rate limiting enzyme for catecholamine synthesis) and ChAT (Choline acetyl transferase- rate limiting enzyme for acetylcholine synthesis). Data was acquired using a Thermo Q-Exactive and C18 RP-UHPLC.	continuous/clustered_data/MSV000084909_specs_ms.mgf	MSV000084909	Mus musculus (NCBITaxon:10090)	9878	GNPS - Mazmanian Lab Enteric Nervous System Activation TH Samples Rerun 020520	116	13	0.0005696612665246903	0.7018049441066397	specs_ms.mgf	1
 	continuous/clustered_data/MSV000078801_specs_ms.mgf	MSV000078801	mouse	717797	GNPS_Autism_MIA_mouse_model_20140808	27	13	0.0025796612665089924	0.7012278342238721	specs_ms.mgf	1
Human plasma extracted with methanol, resuspended in 50% methanol and analyzed with a RP-HPLC-LC-MS/MS and a C18 column. 	continuous/clustered_data/MSV000084600_specs_ms.mgf	MSV000084600	Homo sapiens (NCBITaxon:9606)	592	GNPS - HE test - plasma - untargeted MS 	2	11	0.0005696612665246903	0.7011932706106657	specs_ms.mgf	1
Metabolomics is a rapidly growing field consisting of the analysis of a large number of metabolites at a system scale. The two major goals of metabolomics are the identification of the metabolites characterizing each organism state and the measurement of their dynamics under different situations . Knowledge about metabolites is crucial for the understanding of most cellular phenomena, but this information alone is not sufficient to gain a comprehensive view of all the biological processes involved.	continuous/clustered_data/MSV000082905_specs_ms.mgf	MSV000082905	Homo sapiens (NCBITaxon:9606)	346	GNPS - serum metabolomics	2	14	0.00242033873348646	0.7007352666711246	specs_ms.mgf	1
Non-targeted metabolomics of bacteria fungus interaction and bio-activity guided fractions.	continuous/clustered_data/MSV000083183_specs_ms.mgf	MSV000083183	Bacillus subtilis (NCBITaxon:1423);Setophoma terrestris (NCBITaxon:798162)	2749	GNPS - Bacillus-Fungus interaction IV	2	13	0.0005696612665246903	0.6997562341116614	specs_ms.mgf	1
Metabolic analysis of complex food samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081681_specs_ms.mgf	MSV000081681	food metagenome (NCBITaxon:870726)	2767	GNPS - GFOP - Food - Plate13_complex	2	12	0.0025796612665089924	0.6968534139611647	specs_ms.mgf	1
Metabolic analysis of cheese samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081657_specs_ms.mgf	MSV000081657	food fermentation metagenome (NCBITaxon:1154581)	1495	GNPS - GFOP - Food - Plate7_cheese	33	13	0.000410338733502158	0.6957272104561076	specs_ms.mgf	1
pilot data from a drug metabolism study performed at UCSD. urine, fecal, and skin samples were obtained from 14 subjects, healthy, after being given drugs which are used for CYP phenotype measurements	continuous/clustered_data/MSV000082493_specs_ms.mgf	MSV000082493	Homo sapiens (NCBITaxon:9606)	395453	GNPS_DrugMetabolism_Tsunoda	37	14	0.0015696612665010434	0.6944967779572312	specs_ms.mgf	1
Fecal samples of C57BL/6 mice exposed to relevant levels of cadmium and arsenic over two weeks in the drinking water. Sample types include controls, arsenic and cadmium groups. The samples were analyzed by liquid chromatography tandem mass spectrometry (LC-MS/MS) and data was recorded in a data dependent manner, on a Q-Exactive (Thermo scientific, Bremen, Germany). An EASY nLC-1000 liquid chromatography system (Thermo scientific, Odense, Denmark) was coupled to the mass spectrometer through a 2 cm C18 pre-column (300 um inner diameter and 1.9 um particle size) and a self-packed 15 cm (Pico Frit columns from New Objective with a 75 um inner diameter, packed with ( 1.9um C18 Dr Maisch Mat. No. r119.a). Metabolites were eluted with a mobile phase consisting of solvent A (0.1% formic acid) and B (80% acetonitrile in 0.1% formic acid). The concentration of solvent B was linearly increased from 2-10% over 3 min and from 10-95% solution B over 15min. Solvent B was maintained at 95% for 2 min. Full scans were acquired in the Orbitrap with a resolution of 70000, maximum injection time of 20 ms and a scan range of 80-1200 m/z using a Top 10 method with an isolation window of 1.6 Da and a dynamic exclusion time of 15 sec. For the MS/MS scans the resolution was adjusted to 17500 and maximum injection time of 60 ms. Ions were fragmented in a higher-energy collision dissociation (HCD) cell with normalized collision energy (NCE) of 30%.	continuous/clustered_data/MSV000082891_specs_ms.mgf	MSV000082891	C57BL\/6 	13534	GNPS Fecal samples of mice exposed to heavy metals	48	15	0.0005696612665246903	0.6918560753234642	specs_ms.mgf	1
ABX 3D Mouse plates 22-28, contains remaining samples from non-gut and urogenital tract organs.	continuous/clustered_data/MSV000082048_specs_ms.mgf	MSV000082048	Mus musculus (NCBITaxon:10090)	145508	GNPS ABX 3D Mouse Plates 22-28	42	15	0.000410338733502158	0.6874029470791972	specs_ms.mgf	1
Genome-wide mapping of gene-microbiome interaction: implication in behavior and effect on microbiome and metabolome. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive polarity acquisition on LC-MS/MS.	continuous/clustered_data/MSV000083083_specs_ms.mgf	MSV000083083	Rattus (NCBITaxon:10114)	484555	GNPS - SEED - Palmer Rat Cecum	1140	14	0.0005696612665246903	0.6861851482747625	specs_ms.mgf	1
Metabolic analysis of human stool samples, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. [dataset license: CC0 1.0 Universal (CC0 1.0)] 	continuous/clustered_data/MSV000084218_specs_ms.mgf	MSV000084218	Homo sapiens (NCBITaxon:9606)	68899	GNPS - CMI - UVA Fecal Metabolomics Rotavirus Dataset	85	12	0.0015696612665010434	0.6845142741498007	specs_ms.mgf	1
Various MeOH and PBS extracts from Streptomyces species analyzed by LC-MS/MS analyzed in both positive and negative ionisation using a Vanquish UHPLC System coupled to a Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer (Thermo Scientific, United States). Chromatographic separation was performed in mixed mode (allowing weak anion/cation exchange) on a Scherzo SM-C18 column. Inclusion list was used for the positive mode, and background ions were excluded.	continuous/clustered_data/MSV000084595_specs_ms.mgf	MSV000084595	Streptomyces 	13155	GNPS - Comparative genomics metabolomics analysis of Streptomyces species	2	13	0.0005696612665246903	0.6812350081893673	specs_ms.mgf	1
A cohort of 15 mice were fed iron-supplemented, deficient, or normal diets over 2 months, then diets were returned to normal for the final month of the study. Fecal pellets were collected over the course of the study for analysis. 	continuous/clustered_data/MSV000086178_specs_ms.mgf	MSV000086178	Mus musculus (NCBITaxon:10090)	3488	GNPS - 09182020_Mouse_diet_study_microflow	190	15	0.000410338733502158	0.6755060280526871	specs_ms.mgf	1
Infections by Burkholderia cenocepacia lead to life-threatening disease in immunocompromised individuals, including those living with cystic fibrosis (CF). While genetic variation in various B. cenocepacia strains has been reported, it remains unclear how environmental conditions found in the CF lung influence the production of small molecules that may impact virulence of these strains. Here we compare metabolomic profiles of three clinical B. cenocepacia strains cultured in synthetic CF sputum media (SCFM2) and in a routine laboratory media (LB), in the presence and absence of the antibiotic trimethoprim. Using a mass spectrometry based untargeted metabolomics approach, we identify several compound classes which are differentially produced in SCFM2 compared to LB media, including siderophores, antimicrobials, quorum sensing signals, and various lipid families. Furthermore, we describe how metabolomic changes induced by the antibiotic trimethoprim vary in SCFM2 compared to LB. The differences described in this study provide insight into the diversity of secondary metabolites produced by B. cenocepacia strains under conditions representative of the nutritional conditions present in CF-associated lung environments. 	continuous/clustered_data/MSV000087793_specs_ms.mgf	MSV000087793	Burkholderia cenocepacia (NCBITaxon:95486)	321	GNPS-Burkholderia_trimethoprim_SCFM2vsLB	28	10	0.000410338733502158	0.6741072486764936	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode 	continuous/clustered_data/MSV000082630_specs_ms.mgf	MSV000082630	Homo sapiens (NCBITaxon:9606)	118313	GNPS - ONR Primary Wright - Human-Plasma	70	13	0.0005696612665246903	0.674099622374656	specs_ms.mgf	1
LC-MS/MS metabolomes of fecal samples from 101 individuals from 25 mammalian species, in collaboration with a zoo. DDA data for molecular networking. Collected on a qExactive and includes fecal samples, dietary samples, and quality control samples. See linked datasets: MSV000083859, https://www.ncbi.nlm.nih.gov/bioproject/PRJNA693262/ 	continuous/clustered_data/MSV000086131_specs_ms.mgf	MSV000086131	Mammalia (NCBITaxon:40674)	30476	GNPS - LC-MS/MS metabolomes of fecal samples from zoo mammals	105	14	0.000410338733502158	0.668209720715718	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode 	continuous/clustered_data/MSV000082602_specs_ms.mgf	MSV000082602	Rattus norvegicus (NCBITaxon:10116)	18048	GNPS - ONR Primary Fleshner - Rat - plasma	7	12	0.0005696612665246903	0.6638356026312092	specs_ms.mgf	1
Non-targeted LC-MS/MS (pos + neg mode) of PPL SPE extracted seawater and aerosol samples from Imperial Beach study 2020.	continuous/clustered_data/MSV000087006_specs_ms.mgf	MSV000087006	environmental samples <Bacillariophyta> (NCBITaxon:33858)	452938	GNPS - IB2020 Ocean-Air transport Non-targted MS/MS pos/neg mode (Full Dataset)	8	13	0.00242033873348646	0.6610255319852951	specs_ms.mgf	1
Non-targeted LC-MS/MS (pos mode) of PPL SPE extracted seawater and aerosol samples from Imperial Beach study 2020.	continuous/clustered_data/MSV000086926_specs_ms.mgf	MSV000086926	environmental samples <Bacillariophyta> (NCBITaxon:33858)	146348	GNPS - IB2020 Ocean-Air transport Non-targted MS/MS pos mode (partial)	64	13	0.00242033873348646	0.6597312743143584	specs_ms.mgf	1
Genome-wide mapping of gene-microbiome interaction: implication in behavior and effect on microbiome and metabolome. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive polarity acquisition on LC-MS/MS.	continuous/clustered_data/MSV000083647_specs_ms.mgf	MSV000083647	Rattus norvegicus (NCBITaxon:10116)	257825	GNPS - CMI - SEED - Palmer Cecum Metabolomics	651	14	0.000410338733502158	0.6590019992620122	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode 	continuous/clustered_data/MSV000082582_specs_ms.mgf	MSV000082582	Rattus norvegicus (NCBITaxon:10116)	128855	GNPS - ONR Primary Fleshner - Rat - fecal	279	14	0.0005696612665246903	0.6588358906694284	specs_ms.mgf	1
