Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,file_usi
MSV000079628/ccms_peak/samples/20160321-JWFH13-3_P2-E-4_01_33803.mzXML,MSV000079628/20160321-JWFH13-3_P2-E-4_01_33803.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH13-3_P2-E-4_01_33803
MSV000079628/ccms_peak/samples/20160321-JWFH14-1_P1-B-5_01_33806.mzXML,MSV000079628/20160321-JWFH14-1_P1-B-5_01_33806.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH14-1_P1-B-5_01_33806
MSV000079628/ccms_peak/samples/20160321-JWFH14-2_P2-B-5_01_33807.mzXML,MSV000079628/20160321-JWFH14-2_P2-B-5_01_33807.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH14-2_P2-B-5_01_33807
MSV000079628/ccms_peak/samples/20160321-JWFH14-3_P2-E-5_01_33808.mzXML,MSV000079628/20160321-JWFH14-3_P2-E-5_01_33808.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH14-3_P2-E-5_01_33808
MSV000079628/ccms_peak/samples/20160321-JWFH15-1_P1-B-6_01_33809.mzXML,MSV000079628/20160321-JWFH15-1_P1-B-6_01_33809.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH15-1_P1-B-6_01_33809
MSV000079628/ccms_peak/samples/20160321-JWFH15-2_P2-B-6_01_33810.mzXML,MSV000079628/20160321-JWFH15-2_P2-B-6_01_33810.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH15-2_P2-B-6_01_33810
MSV000079628/ccms_peak/samples/20160321-JWFH15-3_P2-E-6_01_33811.mzXML,MSV000079628/20160321-JWFH15-3_P2-E-6_01_33811.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH15-3_P2-E-6_01_33811
MSV000079628/ccms_peak/samples/20160321-JWFH16-1_P1-B-7_01_33814.mzXML,MSV000079628/20160321-JWFH16-1_P1-B-7_01_33814.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH16-1_P1-B-7_01_33814
MSV000079628/ccms_peak/samples/20160321-JWFH16-2_P2-B-7_01_33815.mzXML,MSV000079628/20160321-JWFH16-2_P2-B-7_01_33815.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH16-2_P2-B-7_01_33815
MSV000079628/ccms_peak/samples/20160321-JWFH16-3_P2-E-2_01_33816.mzXML,MSV000079628/20160321-JWFH16-3_P2-E-2_01_33816.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH16-3_P2-E-2_01_33816
MSV000079628/ccms_peak/samples/20160321-JWFH2-1_P1-F-5_01_33757.mzXML,MSV000079628/20160321-JWFH2-1_P1-F-5_01_33757.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH2-1_P1-F-5_01_33757
MSV000079628/ccms_peak/samples/20160321-JWFH2-2_P2-A-5_01_33758.mzXML,MSV000079628/20160321-JWFH2-2_P2-A-5_01_33758.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH2-2_P2-A-5_01_33758
MSV000079628/ccms_peak/samples/20160321-JWFH2-3_P2-D-5_01_33759.mzXML,MSV000079628/20160321-JWFH2-3_P2-D-5_01_33759.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH2-3_P2-D-5_01_33759
MSV000079628/ccms_peak/samples/20160321-JWFH3-1_P1-F-6_01_33760.mzXML,MSV000079628/20160321-JWFH3-1_P1-F-6_01_33760.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH3-1_P1-F-6_01_33760
MSV000079628/ccms_peak/samples/20160321-JWFH3-2_P2-A-6_01_33761.mzXML,MSV000079628/20160321-JWFH3-2_P2-A-6_01_33761.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH3-2_P2-A-6_01_33761
MSV000079628/ccms_peak/samples/20160321-JWFH3-3_P2-D-6_01_33762.mzXML,MSV000079628/20160321-JWFH3-3_P2-D-6_01_33762.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH3-3_P2-D-6_01_33762
MSV000079628/ccms_peak/samples/20160321-JWFH4-1_P1-F-7_01_33765.mzXML,MSV000079628/20160321-JWFH4-1_P1-F-7_01_33765.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH4-1_P1-F-7_01_33765
MSV000079628/ccms_peak/samples/20160321-JWFH4-2_P2-A-7_01_33766.mzXML,MSV000079628/20160321-JWFH4-2_P2-A-7_01_33766.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH4-2_P2-A-7_01_33766
MSV000079628/ccms_peak/samples/20160321-JWFH4-3_P2-D-7_01_33767.mzXML,MSV000079628/20160321-JWFH4-3_P2-D-7_01_33767.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH4-3_P2-D-7_01_33767
MSV000079628/ccms_peak/samples/20160321-JWFH5-1_P1-F-8_01_33768.mzXML,MSV000079628/20160321-JWFH5-1_P1-F-8_01_33768.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH5-1_P1-F-8_01_33768
MSV000079628/ccms_peak/samples/20160321-JWFH5-2_P2-A-8_01_33769.mzXML,MSV000079628/20160321-JWFH5-2_P2-A-8_01_33769.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH5-2_P2-A-8_01_33769
MSV000079628/ccms_peak/samples/20160321-JWFH5-3_P2-D-8_01_33770.mzXML,MSV000079628/20160321-JWFH5-3_P2-D-8_01_33770.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH5-3_P2-D-8_01_33770
MSV000079628/ccms_peak/samples/20160321-JWFH6-1_P1-F-9_01_33773.mzXML,MSV000079628/20160321-JWFH6-1_P1-F-9_01_33773.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH6-1_P1-F-9_01_33773
MSV000079628/ccms_peak/samples/20160321-JWFH6-2_P2-A-9_01_33774.mzXML,MSV000079628/20160321-JWFH6-2_P2-A-9_01_33774.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH6-2_P2-A-9_01_33774
MSV000079628/ccms_peak/samples/20160321-JWFH6-3_P2-D-9_01_33775.mzXML,MSV000079628/20160321-JWFH6-3_P2-D-9_01_33775.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH6-3_P2-D-9_01_33775
MSV000079628/ccms_peak/samples/20160321-JWFH7-1_P1-F-10_01_33776.mzXML,MSV000079628/20160321-JWFH7-1_P1-F-10_01_33776.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH7-1_P1-F-10_01_33776
MSV000079628/ccms_peak/samples/20160321-JWFH7-2_P2-A-10_01_33777.mzXML,MSV000079628/20160321-JWFH7-2_P2-A-10_01_33777.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH7-2_P2-A-10_01_33777
MSV000079628/ccms_peak/samples/20160321-JWFH7-3_P2-D-10_01_33778.mzXML,MSV000079628/20160321-JWFH7-3_P2-D-10_01_33778.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH7-3_P2-D-10_01_33778
MSV000079628/ccms_peak/samples/20160321-JWFH8-1_P1-A-11_01_33782.mzXML,MSV000079628/20160321-JWFH8-1_P1-A-11_01_33782.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH8-1_P1-A-11_01_33782
MSV000079628/ccms_peak/samples/20160321-JWFH8-2_P2-A-11_01_33783.mzXML,MSV000079628/20160321-JWFH8-2_P2-A-11_01_33783.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH8-2_P2-A-11_01_33783
MSV000079628/ccms_peak/samples/20160321-JWFH8-3_P2-D-11_01_33784.mzXML,MSV000079628/20160321-JWFH8-3_P2-D-11_01_33784.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH8-3_P2-D-11_01_33784
MSV000079628/ccms_peak/samples/20160321-JWFH9-1_P1-A-12_01_33785.mzXML,MSV000079628/20160321-JWFH9-1_P1-A-12_01_33785.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH9-1_P1-A-12_01_33785
MSV000079628/ccms_peak/samples/20160321-JWFH9-2_P2-A-12_01_33786.mzXML,MSV000079628/20160321-JWFH9-2_P2-A-12_01_33786.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH9-2_P2-A-12_01_33786
MSV000079628/ccms_peak/samples/20160321-JWFH9-3_P2-D-12_01_33787.mzXML,MSV000079628/20160321-JWFH9-3_P2-D-12_01_33787.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWFH9-3_P2-D-12_01_33787
MSV000079628/ccms_peak/samples/20160321-JWGZ1-1_P1-B-8_01_33817.mzXML,MSV000079628/20160321-JWGZ1-1_P1-B-8_01_33817.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ1-1_P1-B-8_01_33817
MSV000079628/ccms_peak/samples/20160321-JWGZ1-2_P2-B-8_01_33818.mzXML,MSV000079628/20160321-JWGZ1-2_P2-B-8_01_33818.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ1-2_P2-B-8_01_33818
MSV000079628/ccms_peak/samples/20160321-JWGZ1-3_P2-E-8_01_33819.mzXML,MSV000079628/20160321-JWGZ1-3_P2-E-8_01_33819.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ1-3_P2-E-8_01_33819
MSV000079628/ccms_peak/samples/20160321-JWGZ10-1_P1-C-5_01_33856.mzXML,MSV000079628/20160321-JWGZ10-1_P1-C-5_01_33856.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ10-1_P1-C-5_01_33856
MSV000079628/ccms_peak/samples/20160321-JWGZ10-2_P2-C-5_01_33857.mzXML,MSV000079628/20160321-JWGZ10-2_P2-C-5_01_33857.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ10-2_P2-C-5_01_33857
MSV000079628/ccms_peak/samples/20160321-JWGZ10-3_P2-F-5_01_33858.mzXML,MSV000079628/20160321-JWGZ10-3_P2-F-5_01_33858.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ10-3_P2-F-5_01_33858
MSV000079628/ccms_peak/samples/20160321-JWGZ11-1_P1-C-6_01_33859.mzXML,MSV000079628/20160321-JWGZ11-1_P1-C-6_01_33859.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ11-1_P1-C-6_01_33859
MSV000079628/ccms_peak/samples/20160321-JWGZ11-2_P2-C-6_01_33860.mzXML,MSV000079628/20160321-JWGZ11-2_P2-C-6_01_33860.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ11-2_P2-C-6_01_33860
MSV000079628/ccms_peak/samples/20160321-JWGZ11-3_P2-F-6_01_33861.mzXML,MSV000079628/20160321-JWGZ11-3_P2-F-6_01_33861.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ11-3_P2-F-6_01_33861
MSV000079628/ccms_peak/samples/20160321-JWGZ12-1_P1-C-7_01_33864.mzXML,MSV000079628/20160321-JWGZ12-1_P1-C-7_01_33864.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ12-1_P1-C-7_01_33864
MSV000079628/ccms_peak/samples/20160321-JWGZ12-2_P2-C-7_01_33865.mzXML,MSV000079628/20160321-JWGZ12-2_P2-C-7_01_33865.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ12-2_P2-C-7_01_33865
MSV000079628/ccms_peak/samples/20160321-JWGZ12-3_P2-F-7_01_33866.mzXML,MSV000079628/20160321-JWGZ12-3_P2-F-7_01_33866.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ12-3_P2-F-7_01_33866
MSV000079628/ccms_peak/samples/20160321-JWGZ13-1_P1-C-8_01_33867.mzXML,MSV000079628/20160321-JWGZ13-1_P1-C-8_01_33867.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ13-1_P1-C-8_01_33867
MSV000079628/ccms_peak/samples/20160321-JWGZ13-2_P2-C-8_01_33868.mzXML,MSV000079628/20160321-JWGZ13-2_P2-C-8_01_33868.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ13-2_P2-C-8_01_33868
MSV000079628/ccms_peak/samples/20160321-JWGZ13-3_P2-F-8_01_33869.mzXML,MSV000079628/20160321-JWGZ13-3_P2-F-8_01_33869.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ13-3_P2-F-8_01_33869
MSV000079628/ccms_peak/samples/20160321-JWGZ2-1_P1-B-9_01_33822.mzXML,MSV000079628/20160321-JWGZ2-1_P1-B-9_01_33822.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ2-1_P1-B-9_01_33822
MSV000079628/ccms_peak/samples/20160321-JWGZ2-2_P2-B-9_01_33823.mzXML,MSV000079628/20160321-JWGZ2-2_P2-B-9_01_33823.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ2-2_P2-B-9_01_33823
MSV000079628/ccms_peak/samples/20160321-JWGZ2-3_P2-E-9_01_33824.mzXML,MSV000079628/20160321-JWGZ2-3_P2-E-9_01_33824.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ2-3_P2-E-9_01_33824
MSV000079628/ccms_peak/samples/20160321-JWGZ3-1_P1-B-10_01_33825.mzXML,MSV000079628/20160321-JWGZ3-1_P1-B-10_01_33825.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ3-1_P1-B-10_01_33825
MSV000079628/ccms_peak/samples/20160321-JWGZ3-2_P2-B-10_01_33826.mzXML,MSV000079628/20160321-JWGZ3-2_P2-B-10_01_33826.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ3-2_P2-B-10_01_33826
MSV000079628/ccms_peak/samples/20160321-JWGZ3-3_P2-E-10_01_33827.mzXML,MSV000079628/20160321-JWGZ3-3_P2-E-10_01_33827.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ3-3_P2-E-10_01_33827
MSV000079628/ccms_peak/samples/20160321-JWGZ4-1_P1-B-11_01_33830.mzXML,MSV000079628/20160321-JWGZ4-1_P1-B-11_01_33830.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ4-1_P1-B-11_01_33830
MSV000079628/ccms_peak/samples/20160321-JWGZ4-2_P2-B-11_01_33831.mzXML,MSV000079628/20160321-JWGZ4-2_P2-B-11_01_33831.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ4-2_P2-B-11_01_33831
MSV000079628/ccms_peak/samples/20160321-JWGZ4-3_P2-E-11_01_33832.mzXML,MSV000079628/20160321-JWGZ4-3_P2-E-11_01_33832.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ4-3_P2-E-11_01_33832
MSV000079628/ccms_peak/samples/20160321-JWGZ5-1_P1-B-12_01_33833.mzXML,MSV000079628/20160321-JWGZ5-1_P1-B-12_01_33833.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ5-1_P1-B-12_01_33833
MSV000079628/ccms_peak/samples/20160321-JWGZ5-2_P2-B-12_01_33834.mzXML,MSV000079628/20160321-JWGZ5-2_P2-B-12_01_33834.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ5-2_P2-B-12_01_33834
MSV000079628/ccms_peak/samples/20160321-JWGZ5-3_P2-E-12_01_33835.mzXML,MSV000079628/20160321-JWGZ5-3_P2-E-12_01_33835.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ5-3_P2-E-12_01_33835
MSV000079628/ccms_peak/samples/20160321-JWGZ6-1_P1-C-1_01_33838.mzXML,MSV000079628/20160321-JWGZ6-1_P1-C-1_01_33838.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ6-1_P1-C-1_01_33838
MSV000079628/ccms_peak/samples/20160321-JWGZ6-2_P2-C-1_01_33839.mzXML,MSV000079628/20160321-JWGZ6-2_P2-C-1_01_33839.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ6-2_P2-C-1_01_33839
MSV000079628/ccms_peak/samples/20160321-JWGZ6-3_P2-F-1_01_33840.mzXML,MSV000079628/20160321-JWGZ6-3_P2-F-1_01_33840.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ6-3_P2-F-1_01_33840
MSV000079628/ccms_peak/samples/20160321-JWGZ7-1_P1-C-2_01_33841.mzXML,MSV000079628/20160321-JWGZ7-1_P1-C-2_01_33841.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ7-1_P1-C-2_01_33841
MSV000079628/ccms_peak/samples/20160321-JWGZ7-2_P2-C-2_01_33842.mzXML,MSV000079628/20160321-JWGZ7-2_P2-C-2_01_33842.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ7-2_P2-C-2_01_33842
MSV000079628/ccms_peak/samples/20160321-JWGZ7-3_P2-F-2_01_33843.mzXML,MSV000079628/20160321-JWGZ7-3_P2-F-2_01_33843.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ7-3_P2-F-2_01_33843
MSV000079628/ccms_peak/samples/20160321-JWGZ8-1_P1-C-3_01_33848.mzXML,MSV000079628/20160321-JWGZ8-1_P1-C-3_01_33848.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ8-1_P1-C-3_01_33848
MSV000079628/ccms_peak/samples/20160321-JWGZ8-2_P2-C-3_01_33849.mzXML,MSV000079628/20160321-JWGZ8-2_P2-C-3_01_33849.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ8-2_P2-C-3_01_33849
MSV000079628/ccms_peak/samples/20160321-JWGZ8-3_P2-F-3_01_33850.mzXML,MSV000079628/20160321-JWGZ8-3_P2-F-3_01_33850.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ8-3_P2-F-3_01_33850
MSV000079628/ccms_peak/samples/20160321-JWGZ9-1_P1-C-4_01_33851.mzXML,MSV000079628/20160321-JWGZ9-1_P1-C-4_01_33851.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ9-1_P1-C-4_01_33851
MSV000079628/ccms_peak/samples/20160321-JWGZ9-2_P2-C-4_01_33852.mzXML,MSV000079628/20160321-JWGZ9-2_P2-C-4_01_33852.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ9-2_P2-C-4_01_33852
MSV000079628/ccms_peak/samples/20160321-JWGZ9-3_P2-F-4_01_33853.mzXML,MSV000079628/20160321-JWGZ9-3_P2-F-4_01_33853.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWGZ9-3_P2-F-4_01_33853
MSV000079628/ccms_peak/samples/20160321-JWPre1-1_P1-F-1_01_33741.mzXML,MSV000079628/20160321-JWPre1-1_P1-F-1_01_33741.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre1-1_P1-F-1_01_33741
MSV000079628/ccms_peak/samples/20160321-JWPre1-2_P2-A-1_01_33742.mzXML,MSV000079628/20160321-JWPre1-2_P2-A-1_01_33742.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre1-2_P2-A-1_01_33742
MSV000079628/ccms_peak/samples/20160321-JWPre1-3_P2-D-1_01_33743.mzXML,MSV000079628/20160321-JWPre1-3_P2-D-1_01_33743.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre1-3_P2-D-1_01_33743
MSV000079628/ccms_peak/samples/20160321-JWPre2-1_P1-F-2_01_33744.mzXML,MSV000079628/20160321-JWPre2-1_P1-F-2_01_33744.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre2-1_P1-F-2_01_33744
MSV000079628/ccms_peak/samples/20160321-JWPre2-2_P2-A-2_01_33745.mzXML,MSV000079628/20160321-JWPre2-2_P2-A-2_01_33745.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre2-2_P2-A-2_01_33745
MSV000079628/ccms_peak/samples/20160321-JWPre2-3_P2-D-2_01_33746.mzXML,MSV000079628/20160321-JWPre2-3_P2-D-2_01_33746.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre2-3_P2-D-2_01_33746
MSV000079628/ccms_peak/samples/20160321-JWPre3-1_P1-F-3_01_33749.mzXML,MSV000079628/20160321-JWPre3-1_P1-F-3_01_33749.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre3-1_P1-F-3_01_33749
MSV000079628/ccms_peak/samples/20160321-JWPre3-2_P2-A-3_01_33750.mzXML,MSV000079628/20160321-JWPre3-2_P2-A-3_01_33750.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre3-2_P2-A-3_01_33750
MSV000079628/ccms_peak/samples/20160321-JWPre3-3_P2-D-3_01_33751.mzXML,MSV000079628/20160321-JWPre3-3_P2-D-3_01_33751.mzXML,MSV000079628,Camellia sinensis,4442,No,No,No,mzspec:MSV000079628:20160321-JWPre3-3_P2-D-3_01_33751
MSV000079838/ccms_peak/Samples/Fractions/fraction1.mzXML,MSV000079838/fraction1.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction1
MSV000079838/ccms_peak/Samples/Fractions/fraction10.mzXML,MSV000079838/fraction10.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction10
MSV000079838/ccms_peak/Samples/Fractions/fraction11.mzXML,MSV000079838/fraction11.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction11
MSV000079838/ccms_peak/Samples/Fractions/fraction2.mzXML,MSV000079838/fraction2.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction2
MSV000079838/ccms_peak/Samples/Fractions/fraction3.mzXML,MSV000079838/fraction3.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction3
MSV000079838/ccms_peak/Samples/Fractions/fraction4.mzXML,MSV000079838/fraction4.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction4
MSV000079838/ccms_peak/Samples/Fractions/fraction5.mzXML,MSV000079838/fraction5.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction5
MSV000079838/ccms_peak/Samples/Fractions/fraction6.mzXML,MSV000079838/fraction6.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction6
MSV000079838/ccms_peak/Samples/Fractions/fraction7.mzXML,MSV000079838/fraction7.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction7
MSV000079838/ccms_peak/Samples/Fractions/fraction8.mzXML,MSV000079838/fraction8.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction8
MSV000079838/ccms_peak/Samples/Fractions/fraction9.mzXML,MSV000079838/fraction9.mzXML,MSV000079838,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079838:fraction9
MSV000079839/ccms_peak/Blank/blanc1.mzXML,MSV000079839/blanc1.mzXML,MSV000079839,Blank,Blank,No,Yes,No,mzspec:MSV000079839:blanc1
MSV000079839/ccms_peak/Samples/Extract/cupanii_Extrait2.mzXML,MSV000079839/cupanii_Extrait2.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_Extrait2
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F1.mzXML,MSV000079839/cupanii_F1.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F1
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F10.mzXML,MSV000079839/cupanii_F10.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F10
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F11.mzXML,MSV000079839/cupanii_F11.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F11
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F12.mzXML,MSV000079839/cupanii_F12.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F12
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F13.mzXML,MSV000079839/cupanii_F13.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F13
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F14.mzXML,MSV000079839/cupanii_F14.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F14
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F2.mzXML,MSV000079839/cupanii_F2.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F2
MSV000079839/ccms_peak/Samples/Fractions/cupanii_F3.mzXML,MSV000079839/cupanii_F3.mzXML,MSV000079839,Euphorbia pithyusa,1087776,No,No,No,mzspec:MSV000079839:cupanii_F3
